Scenario,Servers,Queues,MeanInterarrival,MeanService,Label,TotalArrivals,TotalDepartures,TotalRejected,AverageQueueLength,ServerUtilization,MaxQueueLengthObserved,AverageWaitingTime
Scenario 1,1,1,2,1,iA> sD,92,88,0,0.428602,0.519676,5,48.2922
Scenario 2,1,1,0.5,1,iA< sD,358,185,167,4.04408,0.992541,5,215.647
Scenario 3,1,1,1,1,iA==sD,206,147,54,2.8559,0.899725,5,185.704
Scenario 4,1,2,2,1,iA> sD,82,82,0,0.159595,0.450933,3,19.4628
Scenario 5,1,2,0.5,1,iA< sD,332,169,153,8.52648,0.997279,10,495.102
Scenario 6,1,2,1,1,iA==sD,187,161,19,5.13975,0.901867,10,309.313
Scenario 7,1,3,2,1,iA> sD,87,85,0,0.270226,0.481431,3,31.7913
Scenario 8,1,3,0.5,1,iA< sD,324,160,149,13.2221,0.995222,15,778.153
Scenario 9,1,3,1,1,iA==sD,165,155,0,5.8143,0.879802,14,363.762
Scenario 10,2,1,2,1,iA> sD,71,71,0,0.0108746,0.215521,1,1.53163
Scenario 11,2,1,0.5,1,iA< sD,350,320,23,1.78592,0.910675,5,55.0177
Scenario 12,2,1,1,1,iA==sD,161,161,0,0.120493,0.474498,3,7.48406
Scenario 13,2,2,2,1,iA> sD,86,86,0,0.0105298,0.223712,1,1.2244
Scenario 14,2,2,0.5,1,iA< sD,328,312,10,2.72428,0.886615,10,86.6592
Scenario 15,2,2,1,1,iA==sD,181,178,1,0.536082,0.583899,9,30.117
Scenario 16,2,3,2,1,iA> sD,90,90,0,0.0341308,0.260092,2,3.79231
Scenario 17,2,3,0.5,1,iA< sD,340,326,9,6.63903,0.962909,15,202.894
Scenario 18,2,3,1,1,iA==sD,176,174,0,0.172096,0.466428,5,9.8906
Scenario 19,3,1,2,1,iA> sD,73,73,0,0,0.146459,0,0
Scenario 20,3,1,0.5,1,iA< sD,360,350,7,0.769245,0.722399,5,21.9784
Scenario 21,3,1,1,1,iA==sD,162,157,0,0.0243854,0.279377,2,1.48353
Scenario 22,3,2,2,1,iA> sD,92,91,0,0.000753136,0.200223,1,0.0827622
Scenario 23,3,2,0.5,1,iA< sD,356,356,0,0.471199,0.658559,7,13.2359
Scenario 24,3,2,1,1,iA==sD,176,176,0,0.0187359,0.324562,2,1.06454
Scenario 25,3,3,2,1,iA> sD,95,95,0,0.00400276,0.19185,1,0.421343
Scenario 26,3,3,0.5,1,iA< sD,347,346,0,0.414176,0.668585,5,11.9704
Scenario 27,3,3,1,1,iA==sD,174,174,0,0.0157191,0.316895,2,0.903395
